x,y,filter_value,true_blob
-3.813947190385450714e+00,-6.974266701374458144e+00,-2.982649129121851761e+00,0.000000000000000000e+00
-5.991511873179398151e+00,-5.065119706814136258e+00,-1.261346295551115382e-01,0.000000000000000000e+00
-5.514190620191790515e+00,-6.404980177867630964e+00,-1.465387276525664140e+00,0.000000000000000000e+00
-6.894873499184854815e+00,-7.738693205139883347e+00,-1.623323633685978429e+00,0.000000000000000000e+00
-6.502363048165208603e+00,-6.368710424107393742e+00,-8.115679111795800482e-01,0.000000000000000000e+00
-5.917800280488811460e+00,-6.659333540079831693e+00,-1.406665028373732973e+00,0.000000000000000000e+00
-4.762757381145120483e+00,-4.663374449343443473e+00,-5.932947344198221673e-01,0.000000000000000000e+00
-5.583206337914275785e+00,-5.536990090350725424e+00,-7.498966520722197826e-01,0.000000000000000000e+00
-5.917567014708598805e+00,-5.991921206499052133e+00,-8.902640939277713938e-01,0.000000000000000000e+00
-6.960167821154759515e+00,-5.712615877939792419e+00,-1.387946538854400308e-02,0.000000000000000000e+00
-5.104210073075611476e+00,-3.398132603598779777e+00,6.021691754672005015e-01,0.000000000000000000e+00
-3.368376624885123682e+00,-5.281688573933087660e+00,-1.954818053217820095e+00,0.000000000000000000e+00
-7.738944411018598757e+00,-7.504972921433487265e+00,-9.079365151095086794e-01,0.000000000000000000e+00
-4.022353810138689312e+00,-5.492892025602746919e+00,-1.704157438585856665e+00,0.000000000000000000e+00
-6.128070718230099523e+00,-8.108710973208999917e+00,-2.395270084692905588e+00,0.000000000000000000e+00
-4.335260184477638390e+00,-5.292858804998319400e+00,-1.351196126372103512e+00,0.000000000000000000e+00
-7.956929964567414970e+00,-6.755970611974607465e+00,-1.902040203464059054e-01,0.000000000000000000e+00
-5.565004934069272657e+00,-5.894858921401217700e+00,-1.038397662771498586e+00,0.000000000000000000e+00
-6.504609472028490380e+00,-6.173186012952984747e+00,-6.588178455110282883e-01,0.000000000000000000e+00
-6.314283680169437751e+00,-5.847093466602947487e+00,-5.269576229134098622e-01,0.000000000000000000e+00
-6.278861699303787347e+00,-5.814887012960894275e+00,-5.244617399255889767e-01,0.000000000000000000e+00
-5.727166606645640812e+00,-6.420494128198547479e+00,-1.342529968583857647e+00,0.000000000000000000e+00
-8.558921020984747940e+00,-5.853513912729150448e+00,8.894624155698985790e-01,0.000000000000000000e+00
-4.089537870503582084e+00,-7.658224224020544035e+00,-3.337488612825309175e+00,0.000000000000000000e+00
-4.825329190329254558e+00,-6.281082326848888897e+00,-1.805708720013713409e+00,0.000000000000000000e+00
-6.621501991386687713e+00,-7.325321790254263554e+00,-1.476500979370656053e+00,0.000000000000000000e+00
-5.868384769802129419e+00,-4.425112682479683812e+00,2.912347436065366169e-01,0.000000000000000000e+00
-4.230728572214081495e+00,-3.747212206939413814e+00,-2.211250269774357458e-01,0.000000000000000000e+00
-3.955468232619786750e+00,-5.274529867991375909e+00,-1.577508928140900712e+00,0.000000000000000000e+00
-3.077404905070772578e+00,-5.189668372651957462e+00,-2.067852635644725989e+00,0.000000000000000000e+00
-4.864903802731912918e+00,-6.246515465398826628e+00,-1.753895305175741104e+00,0.000000000000000000e+00
-6.245565897068370731e+00,-6.861797906746465614e+00,-1.355810228018802244e+00,0.000000000000000000e+00
-5.055296712935410497e+00,-7.324441938704353561e+00,-2.467600381457135228e+00,0.000000000000000000e+00
-4.882682498005205041e+00,-6.120961270518799680e+00,-1.645463577894231033e+00,0.000000000000000000e+00
-3.809132510760024903e+00,-4.885726700065827544e+00,-1.369257187517724850e+00,0.000000000000000000e+00
-2.812611110078135468e+00,-4.813434712429673468e+00,-1.944341285724679125e+00,0.000000000000000000e+00
-8.470138982711624465e+00,-6.319497504470737326e+00,4.725908717019087768e-01,0.000000000000000000e+00
-8.075751069705102481e+00,-6.823650881847065364e+00,-1.673436451729301000e-01,0.000000000000000000e+00
-3.338829022972233496e+00,-4.976398471386371369e+00,-1.737247208119978570e+00,0.000000000000000000e+00
-7.590200847517255767e+00,-7.371986272337310631e+00,-8.992005728115138874e-01,0.000000000000000000e+00
-6.557467830732359282e+00,-7.515782872794970260e+00,-1.664458574810927738e+00,0.000000000000000000e+00
-6.884262694189079212e+00,-5.710659202170432103e+00,-6.043107676361723218e-02,0.000000000000000000e+00
-3.904885607922401025e+00,-5.065751354303445808e+00,-1.447954103044091667e+00,0.000000000000000000e+00
-9.399315373811925056e+00,-5.963235015001890460e+00,1.336712430518241623e+00,0.000000000000000000e+00
-5.681402818803158006e+00,-5.471832107299246850e+00,-6.372854329190467126e-01,0.000000000000000000e+00
-6.620757147649536378e+00,-5.350032610286972634e+00,5.181683630017114989e-02,0.000000000000000000e+00
-7.713496795126856043e+00,-4.392302849851205337e+00,1.485022814748719222e+00,0.000000000000000000e+00
-5.005755257392277002e+00,-4.886516525790645993e+00,-6.121217350535629320e-01,0.000000000000000000e+00
-6.478080830375676058e+00,-5.068436936770505774e+00,1.794118273697722921e-01,0.000000000000000000e+00
-4.227430078148406878e+00,-5.548631741430184228e+00,-1.617435555717340767e+00,0.000000000000000000e+00
-5.501506996676158501e+00,-5.626910816993038189e+00,-8.712265651178039416e-01,0.000000000000000000e+00
-7.411949500466217700e+00,-6.313912640011348110e+00,-1.931722510952438299e-01,0.000000000000000000e+00
-6.044712993124409017e+00,-5.543636049425985313e+00,-4.627968860744388624e-01,0.000000000000000000e+00
-4.979540458278247428e+00,-7.173196465436467051e+00,-2.398514566747262045e+00,0.000000000000000000e+00
-5.453036223165858232e+00,-4.166931919974220300e+00,2.280412334030011423e-01,0.000000000000000000e+00
-7.563686763304634297e+00,-7.139350755934785298e+00,-7.359403369353409996e-01,0.000000000000000000e+00
-5.264232807418990134e+00,-4.914172583118670445e+00,-4.698485898797463145e-01,0.000000000000000000e+00
-5.317809318662483520e+00,-4.337085353619664296e+00,1.071895525755478355e-02,0.000000000000000000e+00
-4.251059293576852305e+00,-4.819205819002443825e+00,-1.037928126662853945e+00,0.000000000000000000e+00
-3.977292872774612853e+00,-3.007316149368779890e+00,1.910378651457641519e-01,0.000000000000000000e+00
-7.319761763775625596e+00,-8.535177118413049158e+00,-1.970712866286066900e+00,0.000000000000000000e+00
-3.742255455126844321e+00,-6.331486134468461202e+00,-2.530562333593775470e+00,0.000000000000000000e+00
-5.178009968838034993e+00,-4.346879577272886763e+00,-8.538758699112247719e-02,0.000000000000000000e+00
-9.109325895694404096e+00,-7.804897948791513329e+00,-2.722883360814351561e-01,0.000000000000000000e+00
-8.879048947546934301e+00,-7.232862053099608168e+00,2.462295500353393896e-02,0.000000000000000000e+00
-5.056469339267274599e+00,-5.278819705581486943e+00,-8.836335714119076812e-01,0.000000000000000000e+00
-6.278157963986925161e+00,-7.724516227966175208e+00,-2.002878841447810032e+00,0.000000000000000000e+00
-9.553483534085406959e+00,-6.278573533756918401e+00,1.190278987347431316e+00,0.000000000000000000e+00
-6.501559966281114100e+00,-5.496534190399986031e+00,-1.370492907077498490e-01,0.000000000000000000e+00
-4.842851163327690500e+00,-5.721905165993456777e+00,-1.361833899359385480e+00,0.000000000000000000e+00
-4.707188030609891882e+00,-5.599465819549786616e+00,-1.352978095851219420e+00,0.000000000000000000e+00
-5.530736337752667708e+00,-6.801331872747132579e+00,-1.761669190202791002e+00,0.000000000000000000e+00
-6.180009643110282447e+00,-5.780971591253521780e+00,-5.608095093659708485e-01,0.000000000000000000e+00
-4.925051449215287036e+00,-6.369097193968102033e+00,-1.810680566002585090e+00,0.000000000000000000e+00
-5.325110149572914509e+00,-6.254123401534406490e+00,-1.468363472743782427e+00,0.000000000000000000e+00
-5.767430838346565558e+00,-4.980732522569128129e+00,-2.027191316855755654e-01,0.000000000000000000e+00
-9.737479739171321924e+00,-7.919549465751574147e+00,3.674703728752226617e-02,0.000000000000000000e+00
-6.676592932376653522e+00,-5.164947291363601423e+00,2.304222987941687562e-01,0.000000000000000000e+00
-6.342675261922065211e+00,-5.795495007530070630e+00,-4.690439963953703661e-01,0.000000000000000000e+00
-3.647869813964425667e+00,-4.177009710158766431e+00,-9.228581338795205369e-01,0.000000000000000000e+00
-5.430370854040817541e+00,-4.318388328247174002e+00,9.646787244892414404e-02,0.000000000000000000e+00
-6.275902791340861597e+00,-7.032928781019211151e+00,-1.469047749388859403e+00,0.000000000000000000e+00
-7.661588802190547831e+00,-7.939830693536080730e+00,-1.293482356741885608e+00,0.000000000000000000e+00
-7.555615817324375705e+00,-6.580740938153084585e+00,-3.087110190543809196e-01,0.000000000000000000e+00
-3.894058304380175528e+00,-3.728499958135730097e+00,-4.198348818797796866e-01,0.000000000000000000e+00
-7.945967614704453119e+00,-5.716292891981657576e+00,6.075203656579557521e-01,0.000000000000000000e+00
-7.375494561462577536e+00,-5.562710230294627856e+00,3.651416920655069509e-01,0.000000000000000000e+00
-7.118637221489741762e+00,-8.308295279912572440e+00,-1.922475672045570239e+00,0.000000000000000000e+00
-4.863640019473214338e+00,-6.617006342275640662e+00,-2.041439698940892278e+00,0.000000000000000000e+00
-7.362421575123854645e+00,-7.417275549868145745e+00,-1.078490982848952839e+00,0.000000000000000000e+00
-6.800193858518252199e+00,-5.563279440634486761e+00,3.990017022767875692e-04,0.000000000000000000e+00
-6.128997727310188104e+00,-5.617559148287359250e+00,-4.666379291897043147e-01,0.000000000000000000e+00
-4.778690298646209200e+00,-4.294884652500464917e+00,-2.980100410005097067e-01,0.000000000000000000e+00
-7.269747442262653792e+00,-7.897490193686821591e+00,-1.508841374723774775e+00,0.000000000000000000e+00
-4.511549340362053684e+00,-6.254276852635770823e+00,-1.983659686408349998e+00,0.000000000000000000e+00
-4.080693154313830284e+00,-5.353589741835305560e+00,-1.559400741877828844e+00,0.000000000000000000e+00
-6.028875224792036747e+00,-5.583700761972632876e+00,-5.038343362117972957e-01,0.000000000000000000e+00
-5.812363943885655360e+00,-5.789354588083739372e+00,-8.001047411265050924e-01,0.000000000000000000e+00
-4.754658272310775757e+00,-6.895640267339226526e+00,-2.326101819801044357e+00,0.000000000000000000e+00
-5.496672346418632671e+00,-5.982368004049582133e+00,-1.149396732840238800e+00,0.000000000000000000e+00
-5.930126675215494636e+00,-6.994624775718124354e+00,-1.658360588596326402e+00,0.000000000000000000e+00
-7.961283017603558498e+00,-6.740951723122607930e+00,-1.758235240079974726e-01,0.000000000000000000e+00
-5.485831378090821886e+00,-3.622439784960417963e+00,6.702220270915623113e-01,0.000000000000000000e+00
-4.766755834814501824e+00,-7.036714889940939521e+00,-2.427626919948635553e+00,0.000000000000000000e+00
-5.664591016876179275e+00,-6.456691527570263212e+00,-1.410170438229433554e+00,0.000000000000000000e+00
-6.348101124254456273e+00,-5.810997513936786874e+00,-4.776064133111914689e-01,0.000000000000000000e+00
-5.209914010630147807e+00,-6.331197437308710541e+00,-1.600962033780649163e+00,0.000000000000000000e+00
-4.921999237332945754e+00,-7.267845052767851755e+00,-2.508205807371778118e+00,0.000000000000000000e+00
-4.691337590040568273e+00,-2.751956982400869389e+00,8.408350552454234572e-01,0.000000000000000000e+00
-4.937619145627737183e+00,-4.175019905348492877e+00,-1.046000931543630691e-01,0.000000000000000000e+00
-5.567755176166628850e+00,-5.260300604111773026e+00,-5.455350641067534534e-01,0.000000000000000000e+00
-6.173217741890773880e+00,-6.221526955614159249e+00,-9.060814378359520749e-01,0.000000000000000000e+00
-6.993047035445624005e+00,-5.579045660811871699e+00,1.103185401167253998e-01,0.000000000000000000e+00
-6.987090025081225342e+00,-5.295749032986078575e+00,3.258058289824931619e-01,0.000000000000000000e+00
-4.134539439490224844e+00,-5.379042690286576445e+00,-1.545002734479273387e+00,0.000000000000000000e+00
-6.216702747356974257e+00,-5.475480335897483286e+00,-3.011368621895247899e-01,0.000000000000000000e+00
-6.010669673364365195e+00,-4.876867051500525463e+00,3.169633017458316909e-02,0.000000000000000000e+00
-9.006483114592764849e+00,-6.694220122780576432e+00,5.222049389742917658e-01,0.000000000000000000e+00
-9.833289007555798378e+00,-8.167447837052606019e+00,-9.444566724357580934e-02,0.000000000000000000e+00
-3.438421052802597355e+00,-4.676439438063305865e+00,-1.442026287920604943e+00,0.000000000000000000e+00
-7.866446089611873305e+00,-7.986051355043839450e+00,-1.199531799085044481e+00,0.000000000000000000e+00
-2.030914595284702528e+00,-5.093332408833330049e+00,-2.655969924566081275e+00,0.000000000000000000e+00
-6.634796938626555729e+00,-5.502585581032040984e+00,-5.736212270916383332e-02,0.000000000000000000e+00
-8.568147128490203102e+00,-6.605797956321210584e+00,3.130690088870651810e-01,0.000000000000000000e+00
-5.888860242736129180e+00,-6.092704193823950121e+00,-9.864440354526575749e-01,0.000000000000000000e+00
-4.601927898262348826e+00,-5.450572548951422291e+00,-1.304395755879304897e+00,0.000000000000000000e+00
-5.308280813047984381e+00,-6.760216450072249472e+00,-1.870714853608249184e+00,0.000000000000000000e+00
-3.793917643151654584e+00,-3.829156504208428569e+00,-5.611516014565895993e-01,0.000000000000000000e+00
-7.947579583316969121e+00,-7.255141997590911274e+00,-5.824623725586751677e-01,0.000000000000000000e+00
-4.025206272051168988e+00,-6.038812332920790560e+00,-2.124870158539724940e+00,0.000000000000000000e+00
-4.045344698242928416e+00,-6.342596431055246065e+00,-2.347233666171856026e+00,0.000000000000000000e+00
-3.678936448377671198e+00,-5.617385892552578142e+00,-2.017975226915251774e+00,0.000000000000000000e+00
-4.817386313014869970e+00,-4.005368149414215040e+00,-4.943285156651183038e-02,0.000000000000000000e+00
-7.031305288000944564e+00,-7.230668191522823918e+00,-1.143740201748442376e+00,0.000000000000000000e+00
-6.469107547122379565e+00,-5.501867192900329329e+00,-1.617269051161399351e-01,0.000000000000000000e+00
-8.108191110554237468e+00,-5.438025232513175489e+00,9.256136998755372103e-01,0.000000000000000000e+00
-6.261189211940719979e+00,-4.646049871725707270e+00,3.689774102671891098e-01,0.000000000000000000e+00
-1.010438636014781544e+01,-7.342346264615281726e+00,7.158168058283924662e-01,0.000000000000000000e+00
-9.027140367594833847e+00,-7.285757055640056379e+00,7.746156528316834600e-02,0.000000000000000000e+00
-5.705731166006015265e+00,-6.186883396645852073e+00,-1.175298968790248866e+00,0.000000000000000000e+00
-6.472327667559453879e+00,-6.236987724567278235e+00,-7.286397044440655613e-01,0.000000000000000000e+00
-6.189016248010641874e+00,-7.230161816335892944e+00,-1.676717539417752034e+00,0.000000000000000000e+00
-4.573050071413729434e+00,-5.065640090883287705e+00,-1.024761001518247783e+00,0.000000000000000000e+00
-5.124924475257412126e+00,-5.246577505912505934e+00,-8.153311065895740839e-01,0.000000000000000000e+00
-4.523015447381044218e+00,-3.411695671464866741e+00,2.236375396084278322e-01,0.000000000000000000e+00
-6.288537574298678656e+00,-6.396918148576097529e+00,-9.688018559980030586e-01,0.000000000000000000e+00
-7.684099084842854310e+00,-7.403357475275902821e+00,-8.640206319975116678e-01,0.000000000000000000e+00
-8.373329927397126227e+00,-7.297667409678809669e+00,-3.457740185591447468e-01,0.000000000000000000e+00
-5.942407027311853440e+00,-5.592733146625668006e+00,-5.655799465431060602e-01,0.000000000000000000e+00
-6.303497447959006017e+00,-6.949247788004316639e+00,-1.386808254660618189e+00,0.000000000000000000e+00
-4.235007589618582813e+00,-4.940706475020821387e+00,-1.142128991790667625e+00,0.000000000000000000e+00
-6.573912948836482251e+00,-6.840092426944192283e+00,-1.131089351993997294e+00,0.000000000000000000e+00
