point_id,time,x,y,z,strand,mass_regime
P00073,0.00588097,0.03341432,-0.07622778,0.28817195,middle,balanced_early
P00074,0.00601518,0.05275089,4.99297199,0.45770838,upper,balanced_early
P00075,0.00602249,0.03404045,-4.89371153,0.01300713,lower,balanced_early
P00076,0.00605415,0.10222713,-4.95157262,0.11772186,lower,balanced_early
P00077,0.00612074,0.057064,5.07880776,0.49953057,upper,balanced_early
P00078,0.00626433,0.05046502,0.13833383,0.38836779,middle,balanced_early
P00079,0.00641491,0.04893837,-5.03621186,0.20751143,lower,balanced_early
P00080,0.00664263,0.06227125,5.01554229,0.46085273,upper,balanced_early
P00081,0.00688741,0.04007246,-5.21924357,0.0330495,lower,balanced_early
P00082,0.00714631,0.0938034,0.2765423,0.39955099,middle,balanced_early
P00083,0.0071584,0.07935408,-0.05045754,0.33057073,middle,balanced_early
P00084,0.00717697,0.04259511,0.18463075,0.33411358,middle,balanced_early
P00085,0.00719008,0.07414719,-4.83633458,0.0588822,lower,balanced_early
P00086,0.00748089,0.10567545,-4.73644396,0.0775507,lower,balanced_early
P00087,0.00766401,0.07091087,-5.08494232,0.02529469,lower,balanced_early
P00088,0.00773913,0.05175262,-4.98527619,0.11204336,lower,balanced_early
P00089,0.00773992,0.0275659,-4.92324472,0.00470144,lower,balanced_early
P00090,0.00780877,0.10617096,4.94349462,0.55967387,upper,balanced_early
P00091,0.00802114,0.09650596,-4.81971906,-0.03085881,lower,balanced_early
P00092,0.00803935,0.05063202,5.02246943,0.2655276,upper,balanced_early
P00093,0.00809954,0.08694106,0.10286171,0.31208649,middle,balanced_early
P00094,0.0081973,0.05830717,5.0519298,0.50061686,upper,balanced_early
P00095,0.00826118,0.09356214,5.06833776,0.40162773,upper,balanced_early
P00096,0.00827174,0.07839037,0.01632979,0.33289489,middle,balanced_early
P00097,0.0082876,0.1078226,5.27948402,0.52861276,upper,balanced_early
P00098,0.00835714,0.08935855,0.14051351,0.26608089,middle,balanced_early
P00099,0.00851252,0.10518871,-4.95200775,0.1235346,lower,balanced_early
P00100,0.00864999,0.10425202,0.16217376,0.36233651,middle,balanced_early
P00101,0.00883934,0.0703246,5.00762042,0.3993967,upper,balanced_early
P00102,0.00884448,0.0896406,-4.91213257,-0.00618185,lower,balanced_early
P00103,0.00884493,0.10711839,-4.93305632,-0.04008406,lower,balanced_early
P00104,0.00891915,0.11722352,0.17635606,0.32510687,middle,balanced_early
P00105,0.00894147,0.11980387,-0.02277762,0.3107393,middle,balanced_early
P00106,0.00905379,0.07148659,5.03591609,0.49255378,upper,balanced_early
P00107,0.00909875,0.07902451,-4.89975777,0.09551544,lower,balanced_early
P00108,0.00912039,0.06612922,-4.88982356,0.22478177,lower,balanced_early
P00109,0.00920258,0.09168013,0.03857854,0.41740449,middle,balanced_early
P00110,0.00939635,0.08211407,0.20615266,0.35434267,middle,balanced_early
P00111,0.00952719,0.10061518,0.00399565,0.39824193,middle,balanced_early
P00112,0.00953267,0.0906708,5.07451776,0.55934355,upper,balanced_early
P00113,0.00959762,0.06264417,-4.90439375,0.03233442,lower,balanced_early
P00114,0.00984245,0.07334973,-4.88790153,0.00308325,lower,balanced_early
P00115,0.01006166,0.10830612,-0.12106998,0.455901,middle,balanced_early
P00116,0.01010841,0.1266602,5.0874236,0.32747084,upper,balanced_early
P00117,0.01011817,0.09223008,4.94992366,0.40397988,upper,balanced_early
P00118,0.01013202,0.08039201,0.16583634,0.16237908,middle,balanced_early
P00119,0.01015027,0.12030356,0.04143327,0.36046443,middle,balanced_early
P00120,0.01028166,0.09167545,-5.10834373,-0.06646044,lower,balanced_early
P00121,0.01042477,0.121247,-4.79308368,0.15035827,lower,balanced_early
P00122,0.01052853,0.0907403,-0.05784954,0.459718,middle,balanced_early
P00123,0.01055769,0.07142792,0.13569764,0.25864974,middle,balanced_early
P00124,0.01062287,0.06378194,-5.08864048,-0.0272073,lower,balanced_early
P00125,0.0108874,0.1059445,-4.98140414,0.04402396,lower,balanced_early
P00126,0.01091948,0.10847488,4.95735193,0.46651752,upper,balanced_early
P00127,0.01105627,0.12774316,4.94493045,0.5531429,upper,balanced_early
P00128,0.01113094,0.10770218,0.12276883,0.45586138,middle,balanced_early
P00129,0.011166,0.13270834,5.24799634,0.5732703,upper,balanced_early
P00130,0.01118032,0.1033474,-4.88772692,0.03812446,lower,balanced_early
P00131,0.0111843,0.13822065,0.25770104,0.20561145,middle,balanced_early
P00132,0.01127521,0.1245724,-4.80848857,0.15809674,lower,balanced_early
P00133,0.01140029,0.14588764,-4.96186337,-0.13983841,lower,balanced_early
P00134,0.01161644,0.09300468,-5.06886073,0.00935469,lower,balanced_early
P00135,0.01173302,0.08796913,-4.98861636,0.15186547,lower,balanced_early
P00136,0.01186767,0.08799475,-5.01588697,0.10095037,lower,balanced_early
P00137,0.01192985,0.12615885,-4.82939738,0.15174921,lower,balanced_early
P00138,0.01198767,0.12413045,5.14916419,0.50168354,upper,balanced_early
P00139,0.01199685,0.13792812,-4.881205,0.03746915,lower,balanced_early
P00140,0.01201465,0.10691576,-4.98418481,0.04411766,lower,balanced_early
P00141,0.01202573,0.19474492,0.09804177,0.34620085,middle,balanced_early
P00142,0.01207521,0.13808125,0.20333766,0.43532689,middle,balanced_early
P00143,0.01212204,0.12911906,-5.2960092,0.25271332,lower,balanced_early
P00144,0.01212741,0.15196709,4.98865792,0.40966684,upper,balanced_early
P00145,0.0121588,0.11579974,0.17805221,0.45588189,middle,balanced_early
P00146,0.01244567,0.18842646,-4.96889316,0.28333684,lower,balanced_early
P00147,0.01249246,0.11917172,0.0675205,0.41901791,middle,balanced_early
P00148,0.0126177,0.13369953,0.18618318,0.42109506,middle,balanced_early
P00149,0.01273312,0.14883039,0.03172001,0.25415723,middle,balanced_early
P00150,0.01273858,0.12886172,-0.06207438,0.46695635,middle,balanced_early
P00151,0.01283311,0.09357291,-5.1727275,0.05844931,lower,balanced_early
P00152,0.01290395,0.18274094,5.31171003,0.33858827,upper,balanced_early
P00153,0.01298768,0.13196857,5.02128347,0.48831962,upper,balanced_early
P00154,0.01339428,0.14979689,-4.75164769,0.21160883,lower,balanced_early
P00155,0.01343681,0.13052115,0.00410814,0.41663787,middle,balanced_early
P00156,0.01352523,0.11918311,0.1744369,0.42660058,middle,balanced_early
P00157,0.0135728,0.16289865,0.17835698,0.29442204,middle,balanced_early
P00158,0.01384796,0.12537644,-0.01244872,0.37821238,middle,balanced_early
P00159,0.01387765,0.11267979,0.06339777,0.18955593,middle,balanced_early
P00160,0.01389789,0.13472124,0.08544234,0.21334133,middle,balanced_early
P00161,0.01392143,0.12681554,0.10146878,0.33983475,middle,balanced_early
P00162,0.01395307,0.13087048,-5.06481791,0.24497632,lower,balanced_early
P00163,0.01396543,0.14117857,0.02815409,0.42089779,middle,balanced_early
P00164,0.01423682,0.20802675,-5.01721841,0.05570393,lower,balanced_early
P00165,0.01440292,0.14376194,-5.06424764,0.02902427,lower,balanced_early
P00166,0.01448967,0.18468399,-4.98629287,0.00216189,lower,balanced_early
P00167,0.01457025,0.14433299,0.31855614,0.2799289,middle,balanced_early
P00168,0.01463869,0.19885683,0.05090162,0.42369172,middle,balanced_early
P00169,0.01473238,0.12340276,-5.19497739,0.14236934,lower,balanced_early
P00170,0.01503142,0.18784166,-4.88285076,0.22831185,lower,balanced_early
P00171,0.0150399,0.16123832,-4.88295477,0.05021049,lower,balanced_early
P00172,0.01506331,0.13453149,5.1349308,0.38036858,upper,balanced_early
P00173,0.01528229,0.13744398,0.03937784,0.44513498,middle,balanced_early
P00174,0.01543906,0.12946041,5.12920216,0.4995028,upper,balanced_early
P00175,0.01549465,0.17450429,0.04839138,0.41697208,middle,balanced_early
P00176,0.01562153,0.16601382,-5.06017939,0.16917851,lower,balanced_early
P00177,0.01567564,0.15392027,5.06731444,0.40800115,upper,balanced_early
P00178,0.01568258,0.10703924,-5.08008166,0.09050057,lower,balanced_early
P00179,0.015717,0.12487265,5.05332238,0.3533118,upper,balanced_early
P00180,0.01572735,0.12655857,-0.1543158,0.36541255,middle,balanced_early
P00181,0.0158478,0.15038023,5.1800598,0.4621493,upper,balanced_early
P00182,0.01587504,0.11327015,0.03531083,0.38046601,middle,balanced_early
P00183,0.01605861,0.15426005,-5.05123096,0.11732729,lower,balanced_early
P00184,0.01610311,0.15085749,0.07726017,0.45271055,middle,balanced_early
P00185,0.0161355,0.17025519,-5.01890105,-0.08272034,lower,balanced_early
P00186,0.01615208,0.15124399,-4.9709915,0.04688736,lower,balanced_early
P00187,0.01620293,0.14905683,5.18595591,0.4433484,upper,balanced_early
P00188,0.01623408,0.16633549,-5.26238613,0.10494345,lower,balanced_early
P00189,0.01627257,0.21816395,-4.85983015,0.27109742,lower,balanced_early
P00190,0.01628268,0.16046505,-4.77357901,0.08985066,lower,balanced_early
P00191,0.01660657,0.15227014,5.0250188,0.54358396,upper,balanced_early
P00192,0.01661231,0.15112315,0.03747947,0.43381321,middle,balanced_early
P00193,0.01675447,0.15607679,5.0381335,0.55676219,upper,balanced_early
P00194,0.01680512,0.15892578,5.22946112,0.57356446,upper,balanced_early
P00195,0.01681222,0.19268519,-4.96239998,-0.09843832,lower,balanced_early
P00196,0.01697119,0.103189,5.1984933,0.46446808,upper,balanced_early
P00197,0.01701223,0.18973523,0.12412977,0.3129156,middle,balanced_early
P00198,0.01701431,0.18649502,-4.80911189,0.00037755,lower,balanced_early
P00199,0.01708643,0.202762,5.26357007,0.3854857,upper,balanced_early
P00200,0.0173277,0.1713757,-4.85386249,0.08758998,lower,balanced_early
P00201,0.01738275,0.20876184,-4.86192926,-0.04083117,lower,balanced_early
P00202,0.01739782,0.17233863,5.04315373,0.28471522,upper,balanced_early
P00203,0.01740798,0.14502077,0.18826473,0.43238465,middle,balanced_early
P00204,0.01745359,0.17347935,0.10722168,0.49170647,middle,balanced_early
P00205,0.01757055,0.17972362,-4.75595171,0.1284868,lower,balanced_early
P00206,0.01758383,0.17822978,-4.98409808,0.19023404,lower,balanced_early
P00207,0.01760729,0.19320891,5.07868942,0.45925426,upper,balanced_early
P00208,0.01767707,0.1312943,5.13322922,0.56919602,upper,balanced_early
P00209,0.01777718,0.16597346,-4.93713354,0.11453106,lower,balanced_early
P00210,0.01781488,0.21242783,-5.11171116,0.08939961,lower,balanced_early
P00211,0.0178244,0.17896839,5.35025731,0.49289441,upper,balanced_early
P00212,0.01788087,0.18975689,-5.04962172,0.14566721,lower,balanced_early
P00213,0.0179056,0.1755365,5.13437712,0.35919873,upper,balanced_early
P00214,0.01810054,0.18661012,-4.99140941,0.03280413,lower,balanced_early
P00215,0.01820721,0.18924691,-4.86329176,0.2210145,lower,balanced_early
P00216,0.01828341,0.20160757,-5.08097082,0.01662802,lower,balanced_early
P00217,0.01829302,0.14938237,5.27290353,0.38965346,upper,balanced_early
P00218,0.01836827,0.15374474,5.21481328,0.47958792,upper,balanced_early
P00219,0.01846709,0.19593343,0.26260943,0.3366074,middle,balanced_early
P00220,0.01847453,0.19205264,-4.99695501,0.12205085,lower,balanced_early
P00221,0.01856329,0.21875669,-5.04748689,0.0479467,lower,balanced_early
P00222,0.01856549,0.15519764,0.05932381,0.46915086,middle,balanced_early
P00223,0.01870544,0.2010485,-4.9551026,0.07240085,lower,balanced_early
P00224,0.01886014,0.18834266,5.14915176,0.45190119,upper,balanced_early
P00225,0.01892787,0.22539935,-0.04228498,0.42997508,middle,balanced_early
P00226,0.01893726,0.19975354,-5.00761075,0.1830218,lower,balanced_early
P00227,0.01899407,0.21961988,5.18066769,0.51221854,upper,balanced_early
P00228,0.01904611,0.2011464,5.28595299,0.37433467,upper,balanced_early
P00229,0.01909038,0.22812063,0.04358969,0.42232875,middle,balanced_early
P00230,0.01913607,0.13555365,0.20196749,0.24867719,middle,balanced_early
P00231,0.01919005,0.19825477,-4.99548889,-0.01190342,lower,balanced_early
P00232,0.01938861,0.17763336,5.12361429,0.28407611,upper,balanced_early
P00233,0.01960775,0.1730941,0.15431667,0.28389486,middle,balanced_early
P00234,0.019629,0.19038533,0.15290424,0.38000878,middle,balanced_early
P00235,0.01966742,0.17635086,-4.91737129,0.0843099,lower,balanced_early
P00236,0.01982271,0.17106822,-4.87899167,0.13305289,lower,balanced_early
P00237,0.01986052,0.15597696,-4.8215944,-0.01166853,lower,balanced_early
P00238,0.01992211,0.20013848,5.01793257,0.26705392,upper,balanced_early
P00239,0.02012404,0.20211835,-5.04089405,0.0759772,lower,balanced_early
P00240,0.02023029,0.20971305,5.30806861,0.44271552,upper,balanced_early
P00241,0.02023198,0.20660231,0.09942761,0.43926394,middle,balanced_early
P00242,0.02031969,0.16491333,0.21178197,0.27102377,middle,balanced_early
P00243,0.0203804,0.17454584,-5.1328024,0.25195435,lower,balanced_early
P00244,0.02039435,0.22282872,-5.08326884,0.16663074,lower,balanced_early
P00245,0.02041989,0.20965797,5.0813477,0.52866786,upper,balanced_early
P00246,0.02046013,0.19432084,0.30322907,0.43766374,middle,balanced_early
P00247,0.02049403,0.20732321,-5.04542357,0.20952061,lower,balanced_early
P00248,0.02051454,0.15468437,5.11778299,0.44731336,upper,balanced_early
P00249,0.02057042,0.2068486,0.06469295,0.3830261,middle,balanced_early
P00250,0.02060804,0.22136263,5.15222308,0.47439775,upper,balanced_early
P00251,0.02065903,0.2166261,-5.03960635,0.25133804,lower,balanced_early
P00252,0.02067352,0.1674957,0.23296437,0.51434589,middle,balanced_early
P00253,0.02073643,0.19248238,5.27017313,0.5412672,upper,balanced_early
P00254,0.02088773,0.19488435,5.04383139,0.58989099,upper,balanced_early
P00255,0.02089122,0.22922705,-0.01002051,0.40451983,middle,balanced_early
P00256,0.02089558,0.21243402,5.1399693,0.37782662,upper,balanced_early
P00257,0.02094633,0.22056386,0.11363925,0.4068724,middle,balanced_early
P00258,0.02094912,0.21055255,-0.00733013,0.45841215,middle,balanced_early
P00259,0.02104781,0.22066448,-4.90474125,0.08118281,lower,balanced_early
P00260,0.02135714,0.1662525,4.80725587,0.52008173,upper,balanced_early
P00261,0.02153424,0.23055422,5.18061679,0.37355465,upper,balanced_early
P00262,0.02158689,0.1905163,-4.74267365,0.08442147,lower,balanced_early
P00263,0.02185496,0.23639037,5.05847533,0.35615057,upper,balanced_early
P00264,0.02188152,0.24094755,5.14785227,0.36679947,upper,balanced_early
P00265,0.0221899,0.25527244,-4.96331219,0.06829752,lower,balanced_early
P00266,0.02225307,0.24209425,-5.02553728,0.15662177,lower,balanced_early
P00267,0.022285,0.23251646,-5.0443165,0.10082177,lower,balanced_early
P00268,0.02230371,0.20321651,5.05457361,0.43686611,upper,balanced_early
P00269,0.02250689,0.24557222,-4.80569646,0.05006469,lower,balanced_early
P00270,0.02258773,0.21350987,4.98710389,0.48419715,upper,balanced_early
P00271,0.02260056,0.2661112,0.21183654,0.30809147,middle,balanced_early
P00272,0.02274664,0.20204441,-4.83028869,-0.04102395,lower,balanced_early
P00273,0.02277996,0.25322251,5.10529363,0.39860614,upper,balanced_early
P00274,0.02295911,0.25170292,-5.18223963,0.06429769,lower,balanced_early
P00275,0.02304343,0.20018104,5.03641117,0.44542915,upper,balanced_early
P00276,0.02305544,0.201795,5.07199901,0.48427143,upper,balanced_early
P00277,0.02322986,0.26405759,0.18154771,0.40132697,middle,balanced_early
P00278,0.02326701,0.23186969,5.16053742,0.46556817,upper,balanced_early
P00279,0.02366445,0.23287093,-4.94424423,0.11341101,lower,balanced_early
P00280,0.02368324,0.2734303,5.13208411,0.55713659,upper,balanced_early
P00281,0.02378226,0.18514895,0.16246561,0.51234715,middle,balanced_early
P00282,0.02379142,0.2082879,5.14745171,0.31516718,upper,balanced_early
P00283,0.02388964,0.23214539,5.1974647,0.50808257,upper,balanced_early
P00284,0.02395576,0.28554482,0.06384557,0.43193649,middle,balanced_early
P00285,0.02398838,0.31107222,5.0612144,0.49963347,upper,balanced_early
P00286,0.02402041,0.2564709,-4.85616032,0.28496724,lower,balanced_early
P00287,0.02413006,0.29746203,5.15492861,0.41663926,upper,balanced_early
P00288,0.02429219,0.23774575,-5.03595419,0.02511665,lower,balanced_early
P00289,0.0247641,0.25932174,4.99158673,0.57796044,upper,balanced_early
P00290,0.02509331,0.24505054,0.17312718,0.34107065,middle,balanced_early
P00291,0.02512552,0.22870627,0.17383871,0.40666577,middle,balanced_early
P00292,0.02535531,0.22949178,4.90521591,0.32261608,upper,balanced_early
P00293,0.02551117,0.25463063,-4.74308497,0.04302574,lower,balanced_early
P00294,0.02551309,0.25123262,0.09952117,0.25480875,middle,balanced_early
P00295,0.02552738,0.26261751,-4.88156047,0.2444448,lower,balanced_early
P00296,0.02553695,0.2495361,5.32342603,0.52237652,upper,balanced_early
P00297,0.02568348,0.24270925,-4.93264362,0.18722599,lower,balanced_early
P00298,0.02576002,0.29840633,5.2562744,0.50251951,upper,balanced_early
P00299,0.02577239,0.25844418,-0.02561,0.50048483,middle,balanced_early
P00300,0.02582417,0.23228565,0.27282616,0.25724179,middle,balanced_early
P00301,0.02585832,0.27518726,-4.86409574,0.14650329,lower,balanced_early
P00302,0.02588452,0.2219625,5.16441233,0.54253391,upper,balanced_early
P00303,0.02602711,0.27690899,5.16259863,0.35394736,upper,balanced_early
P00304,0.02606121,0.26607198,5.17758561,0.39813599,upper,balanced_early
P00305,0.0261532,0.25541081,5.25493963,0.55278276,upper,balanced_early
P00306,0.02615524,0.24358998,-5.02092506,0.14897759,lower,balanced_early
P00307,0.0265139,0.26344094,5.28518174,0.38962288,upper,balanced_early
P00308,0.02654274,0.27388416,5.19198359,0.43854779,upper,balanced_early
P00309,0.02656642,0.26033983,4.98419697,0.48106165,upper,balanced_early
P00310,0.02670717,0.29059194,-0.04943859,0.41191063,middle,balanced_early
P00311,0.02676923,0.32107084,-4.88903363,0.2099197,lower,balanced_early
P00312,0.02682771,0.24066031,0.2606053,0.47564963,middle,balanced_early
P00313,0.0268652,0.23496656,5.27491046,0.49522988,upper,balanced_early
P00314,0.02694185,0.27980222,-4.77053826,0.30506198,lower,balanced_early
P00315,0.02695511,0.25562709,-4.90857556,0.22879695,lower,balanced_early
P00316,0.02695579,0.2942901,-4.94680049,0.1759539,lower,balanced_early
P00317,0.02703293,0.27077252,0.17313849,0.21312004,middle,balanced_early
P00318,0.02703786,0.27132921,5.15000535,0.44389504,upper,balanced_early
P00319,0.02717239,0.25658465,-5.02983978,0.17478184,lower,balanced_early
P00320,0.02717979,0.26044347,0.20793556,0.42574305,middle,balanced_early
P00321,0.02719003,0.27712417,5.3282702,0.36714692,upper,balanced_early
P00322,0.02720636,0.22038461,0.01416435,0.39400002,middle,balanced_early
P00323,0.02721717,0.28253636,-0.05367751,0.41520814,middle,balanced_early
P00324,0.02722321,0.24906047,5.06975043,0.51786575,upper,balanced_early
P00325,0.02725175,0.26108366,-5.03375284,0.08266278,lower,balanced_early
P00326,0.02729972,0.2921949,5.01477304,0.39864393,upper,balanced_early
P00327,0.02739431,0.30491906,-4.9299493,0.16162908,lower,balanced_early
P00328,0.02754674,0.25344076,0.00005362,0.40925535,middle,balanced_early
P00329,0.02774869,0.27263245,0.09229161,0.49276187,middle,balanced_early
P00330,0.02776243,0.24817646,-4.86841899,0.12493454,lower,balanced_early
P00331,0.02782339,0.29118887,5.24485621,0.47344309,upper,balanced_early
P00332,0.02785886,0.3029175,4.98781427,0.46198638,upper,balanced_early
P00333,0.02794732,0.2650495,5.1262723,0.46197846,upper,balanced_early
P00334,0.02797734,0.32335871,4.9460795,0.38154491,upper,balanced_early
P00335,0.02815242,0.29588728,-5.04319421,0.10771768,lower,balanced_early
P00336,0.02815832,0.29027434,0.10253553,0.49386991,middle,balanced_early
P00337,0.02817436,0.2664367,5.21574813,0.45061707,upper,balanced_early
P00338,0.02833354,0.28117006,-4.83961322,0.04930255,lower,balanced_early
P00339,0.0286703,0.29018425,0.02679249,0.43508278,middle,balanced_early
P00340,0.0286804,0.33720429,-4.94356467,0.1800451,lower,balanced_early
P00341,0.02887727,0.32303955,0.11725351,0.43358186,middle,balanced_early
P00342,0.02904735,0.25588242,5.16646459,0.41229085,upper,balanced_early
P00343,0.0291049,0.30215653,-5.10110043,0.23221474,lower,balanced_early
P00344,0.02941322,0.29150129,-4.96011048,0.07768665,lower,balanced_early
P00345,0.02942796,0.30128419,5.14240729,0.24589828,upper,balanced_early
P00346,0.02947334,0.32364207,0.04029291,0.38947897,middle,balanced_early
P00347,0.02984545,0.35842951,0.15720489,0.31219792,middle,balanced_early
P00348,0.02991121,0.29599136,5.06809672,0.50261584,upper,balanced_early
P00349,0.02994241,0.30611866,0.00797418,0.20676763,middle,balanced_early
P00350,0.03008202,0.28825214,5.11891777,0.45240301,upper,balanced_early
P00351,0.03009581,0.34136902,0.09284115,0.4496298,middle,balanced_early
P00352,0.03029913,0.26719291,0.133655,0.43529205,middle,balanced_early
P00353,0.03032004,0.28685231,-4.97455411,0.14268459,lower,balanced_early
P00354,0.03040663,0.31006783,4.97786367,0.47683447,upper,balanced_early
P00355,0.03045179,0.24349313,-4.96135174,0.05924324,lower,balanced_early
P00356,0.03048606,0.27034332,5.27168626,0.47031269,upper,balanced_early
P00357,0.03050112,0.31149178,0.13441742,0.32654889,middle,balanced_early
P00358,0.03051514,0.25847906,-4.90172359,0.06066071,lower,balanced_early
P00359,0.03056223,0.3056458,0.10302084,0.49349751,middle,balanced_early
P00360,0.03062074,0.32098035,0.15007938,0.43860997,middle,balanced_early
P00361,0.0306325,0.26855213,-0.03030539,0.39221703,middle,balanced_early
P00362,0.03078983,0.32321587,0.10531388,0.44198543,middle,balanced_early
P00363,0.03082717,0.33174031,0.11631857,0.39899682,middle,balanced_early
P00364,0.03086434,0.34354625,-5.00105865,0.26223879,lower,balanced_early
P00365,0.03095357,0.27832213,0.09678142,0.48669915,middle,balanced_early
P00366,0.03103794,0.28526036,-4.8706114,0.1536509,lower,balanced_early
P00367,0.03110635,0.32779767,5.22602835,0.50560075,upper,balanced_early
P00368,0.03150445,0.36129212,5.09041941,0.49851125,upper,balanced_early
P00369,0.03165005,0.2578973,5.07956712,0.70894186,upper,balanced_early
P00370,0.03188008,0.29346676,-5.03817897,0.25787723,lower,balanced_early
P00371,0.0319066,0.35438294,0.22982541,0.36880337,middle,balanced_early
P00372,0.03195629,0.32850786,-4.96507994,0.20648636,lower,balanced_early
